original_commit_type,commit_hash,file_path,classification_label,commit_date,author,is_ai_generated,commit_message
AI,e8d7dfa386f9e104bdb0b42aaedbf537318544ba,autogpts/autogpt/autogpt/core/resource/model_providers/utils.py,refactor,2024-05-16 00:37:53 +0200,Krzysztof Czerwinski,False,"refactor(agent, forge): Move library code from `autogpt` to `forge` (#7106)"
AI,e808c027a9aadd1f130a3224422aa1cabb411683,arena/QA_AGENT.json,docs,2023-09-26 12:43:51 +0200,Ada Lovecraft,True,QA_AGENT entering the arena (#5272)
AI,34fdbaa26b0dcbd173f8290ff1e878c44f538cf3,arena/QA_AGENT.json,refactor,2024-05-09 11:36:40 +0200,Swifty,False,Remove arena (#7134)
AI,650e2dcd6d2d905e10f52cab322e953a8d5e1cba,azure.yaml.template,refactor,2023-04-12 11:27:37 +0200,Peter Edwards,True,cleaned up .env to move Azure config to separate azure.yaml file updated README.md to explain new config added Azure yaml loader to config class centralized model retrieval into config class this commit effectively combines and replaces #700 and #580
AI,da247ca600dd0961d2ba8d3ea69819121f589468,azure.yaml.template,fix,2023-04-13 12:47:16 -0400,Kory Becker,False,merge fix
AI,c1fe34adcbae2cb9d811d1a1fd6df1278d9e7d25,azure.yaml.template,fix,2023-04-18 17:24:59 +0800,Yun Zheng,False,Fix azure_api_type in azure template
AI,bde007e6f7e09081e464dd3d6fac58ad066cd9ca,azure.yaml.template,fix,2023-07-07 03:42:18 +0200,Reinier van der Leer,False,Use GPT-4 in Agent loop by default (#4899)
AI,3b7e1014f64cc75cee8ba6b8f0d3da0d452299e4,azure.yaml.template,fix,2023-07-07 06:08:47 +0200,Ian,False,Fix `--gpt3only` and `--gpt4only` for Azure (#4098)
AI,84890523586508a89debab836dcb71bdb48983bd,azure.yaml.template,refactor,2023-09-05 09:40:24 -0700,Merwane Hamadi,False,Move Auto-GPT to autogpts/autogpt
Human,f6d8e597e114fcc93852a37697646cd3dd6900c3,rnd/autogpt_builder/.prettierrc,style,2024-08-21 05:14:21 -0500,Nicholas Tindle,False,clean(builder): learned we should be using this to keep our tailwind classes sorted (#7836)
Human,ef7cfbb8602385685e375f6a7740af223184683a,rnd/autogpt_builder/.prettierrc,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
Human,7fe4e455fdda2bb388e7fdb71b7aac380e7bfcee,rnd/infra/helm/autogpt-server/templates/frontendconfig.yaml,fix,2024-08-21 10:01:06 +0100,Aarushi,False,feat(infra): Ensure http is always redirected to HTTPS (#7853)
Human,fa12564954cb451d2a3c1a338d35eb134275cd25,rnd/infra/helm/autogpt-server/templates/frontendconfig.yaml,chore,2024-08-21 11:31:16 +0100,Aarushi,False,bug(infra): Add frontend config to ingres (#7854)
Human,cbe553a547cd7dc74d453868c3acbf027d4ac4e7,rnd/infra/helm/autogpt-server/templates/frontendconfig.yaml,feat,2024-08-29 18:23:40 +0000,Aarushi,False,feat(infra): Add deployment for Market (#7907)
Human,ef7cfbb8602385685e375f6a7740af223184683a,rnd/infra/helm/autogpt-server/templates/frontendconfig.yaml,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
Human,9e35f8c5cb3f9f8096cad75dacaef5f75bda2184,rnd/infra/helm/autogpt-builder/templates/service.yaml,refactor,2024-08-20 13:37:40 +0100,Aarushi,False,tweak(infra): Rename builder for consistency (#7837)
Human,ef7cfbb8602385685e375f6a7740af223184683a,rnd/infra/helm/autogpt-builder/templates/service.yaml,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
Human,c0afb133a706a4a21df940e66aaa234ef9fa45b6,rnd/autogpt_builder/src/app/marketplace/submit/page.tsx,feat,2024-08-20 07:04:22 -0500,Nicholas Tindle,False,feat(builder): checkbox for tos on login page and submit agent (#7745)
Human,f6d8e597e114fcc93852a37697646cd3dd6900c3,rnd/autogpt_builder/src/app/marketplace/submit/page.tsx,style,2024-08-21 05:14:21 -0500,Nicholas Tindle,False,clean(builder): learned we should be using this to keep our tailwind classes sorted (#7836)
Human,baa00a5b03f7bb69876404ab8f9c027760c06708,rnd/autogpt_builder/src/app/marketplace/submit/page.tsx,feat,2024-08-30 18:20:59 +0000,Nicholas Tindle,False,"feat(builder,server): add review of agent submissions to the admin portal (#7914)"
Human,ef7cfbb8602385685e375f6a7740af223184683a,rnd/autogpt_builder/src/app/marketplace/submit/page.tsx,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
Human,c0afb133a706a4a21df940e66aaa234ef9fa45b6,rnd/autogpt_builder/src/components/ui/alert.tsx,feat,2024-08-20 07:04:22 -0500,Nicholas Tindle,False,feat(builder): checkbox for tos on login page and submit agent (#7745)
Human,ef7cfbb8602385685e375f6a7740af223184683a,rnd/autogpt_builder/src/components/ui/alert.tsx,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
Human,c0afb133a706a4a21df940e66aaa234ef9fa45b6,rnd/autogpt_builder/src/components/ui/checkbox.tsx,feat,2024-08-20 07:04:22 -0500,Nicholas Tindle,False,feat(builder): checkbox for tos on login page and submit agent (#7745)
Human,f6d8e597e114fcc93852a37697646cd3dd6900c3,rnd/autogpt_builder/src/components/ui/checkbox.tsx,style,2024-08-21 05:14:21 -0500,Nicholas Tindle,False,clean(builder): learned we should be using this to keep our tailwind classes sorted (#7836)
Human,ef7cfbb8602385685e375f6a7740af223184683a,rnd/autogpt_builder/src/components/ui/checkbox.tsx,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
Human,c0afb133a706a4a21df940e66aaa234ef9fa45b6,rnd/autogpt_builder/src/components/ui/command.tsx,feat,2024-08-20 07:04:22 -0500,Nicholas Tindle,False,feat(builder): checkbox for tos on login page and submit agent (#7745)
Human,f6d8e597e114fcc93852a37697646cd3dd6900c3,rnd/autogpt_builder/src/components/ui/command.tsx,style,2024-08-21 05:14:21 -0500,Nicholas Tindle,False,clean(builder): learned we should be using this to keep our tailwind classes sorted (#7836)
Human,ef7cfbb8602385685e375f6a7740af223184683a,rnd/autogpt_builder/src/components/ui/command.tsx,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
